N Items,Accuracy,Mean,Var,Std
5,0.77,44.175824175824175,63.08996498007487,7.942919172450067

5,0.89,46.41489361702128,8.02999094612947,2.833723865539737

5,0.84,45.97802197802198,16.219297186330152,4.027318858288992

5,0.78,44.839080459770116,49.95111639582505,7.067610373798562

5,0.81,45.825581395348834,24.51608977825852,4.951372514592143

5,0.72,44.38095238095238,51.66439909297051,7.187795148233603

5,0.78,44.38947368421053,37.9640997229917,6.161501417916878

5,0.79,45.2967032967033,23.74713198889022,4.873102911789389

5,0.78,44.72727272727273,51.38016528925619,7.167995904662348

5,0.82,45.148936170212764,31.72249886826618,5.632272975297467

5,0.78,44.89772727272727,45.114540289256205,6.716735835899474

5,0.85,45.41489361702128,29.072544137618824,5.391896154194629

5,0.77,45.1123595505618,32.0098472415099,5.657724563948824

5,0.78,44.24175824175824,57.0844100953991,7.555422562332242

5,0.75,43.88636363636363,64.21435950413223,8.013386269495077

5,0.8,44.869565217391305,40.26559546313798,6.345517745868967

5,0.8,44.60674157303371,65.31725792197956,8.081909299291818

5,0.73,43.455555555555556,70.24802469135804,8.381409469257425

5,0.88,46.31868131868132,16.61272793140925,4.075871432149111

5,0.8,44.95505617977528,43.18899128897866,6.571833175680791

5,0.83,44.97826086956522,41.23865784499054,6.421733243057558

5,0.73,44.03488372093023,58.173201730665234,7.627135879913589

5,0.83,45.03157894736842,33.42005540166205,5.781008164815376

5,0.83,46.04494382022472,20.51483398560788,4.529330412501155

5,0.78,45.45977011494253,27.811599947152875,5.273670443548106

5,0.82,45.06666666666667,40.72888888888889,6.381918903346304

5,0.8,45.44186046511628,35.73499188750676,5.977875198388367

5,0.82,45.81111111111111,18.419876543209874,4.291838364059145

5,0.77,44.38202247191011,58.88776669612421,7.673836504391021

5,0.84,45.29032258064516,34.335067637877216,5.859613266921053

5,0.76,45.411764705882355,25.84221453287198,5.083523830264984

5,0.77,44.50588235294118,65.28525951557097,8.079929425160282

5,0.8,45.18181818181818,41.739669421487605,6.460624538037139

5,0.79,45.29761904761905,47.08999433106576,6.862214972664858

5,0.89,45.861702127659576,25.75746944318696,5.075181715287341

5,0.8,44.58064516129032,48.3080124869927,6.950396570483781

5,0.73,43.65934065934066,63.14768747735781,7.946551923781648

5,0.77,44.065934065934066,65.02861973191644,8.064032473391736

5,0.75,44.92941176470588,43.47737024221453,6.593737198449339

5,0.8,44.47826086956522,51.74952741020793,7.193714437632893

5,0.83,46.348837209302324,13.041103299080582,3.6112467790336042

5,0.69,43.172413793103445,70.87831946095918,8.418926265323813

5,0.76,43.87640449438202,69.00719606110339,8.307057003602623

5,0.83,45.22222222222222,39.928395061728395,6.31889191723742

5,0.76,45.0,38.81395348837209,6.23008454905486

5,0.8,44.651685393258425,53.934856710011374,7.344035451304097

5,0.76,45.71084337349398,26.085063144142836,5.107353829934131

5,0.77,44.73863636363637,46.60214359504132,6.826576271824795

5,0.82,45.065934065934066,43.53411423741095,6.598038665953008

